datetime,temperature,uvIndex,windSpeed,summary,apparentTemperature,cloudCover,dewPoint,humidity,precipType,pressure,windBearing
2017-10-10 00:00:00,11.04,0,2.11,Partly Cloudy,11.04,0.35,-0.89,0.44,rain,,232
2017-10-10 01:00:00,9.68,0,2.09,Partly Cloudy,8.74,0.35,-1.07,0.47,rain,,238
2017-10-10 02:00:00,7.96,0,2.25,Partly Cloudy,6.6,0.36,1.32,0.63,rain,,228
2017-10-10 03:00:00,7.51,0,1.23,Partly Cloudy,7.51,0.37,2.32,0.7,rain,,229
2017-10-10 04:00:00,6.38,0,0.55,Partly Cloudy,6.38,0.39,3.0,0.79,rain,,226
2017-10-10 05:00:00,5.93,0,0.86,Partly Cloudy,5.93,0.4,2.62,0.79,rain,,228
2017-10-10 06:00:00,4.85,0,0.19,Partly Cloudy,4.85,0.41,2.78,0.86,rain,,250
2017-10-10 07:00:00,6.85,1,0.37,Partly Cloudy,6.85,0.43,2.9,0.76,rain,,233
2017-10-10 08:00:00,10.33,2,1.29,Partly Cloudy,10.33,0.44,1.93,0.56,rain,,244
2017-10-10 09:00:00,12.11,5,1.86,Partly Cloudy,12.11,0.45,2.26,0.51,rain,,260
2017-10-10 10:00:00,13.18,7,2.54,Partly Cloudy,13.18,0.46,3.32,0.51,rain,,276
2017-10-10 11:00:00,14.96,10,3.25,Clear,14.96,0.19,3.04,0.45,rain,,268
2017-10-10 12:00:00,15.75,8,2.06,Partly Cloudy,15.75,0.47,4.62,0.48,rain,,246
2017-10-10 13:00:00,16.25,8,1.98,Partly Cloudy,16.25,0.47,5.51,0.49,rain,,254
2017-10-10 14:00:00,16.94,7,3.5,Partly Cloudy,16.94,0.29,4.18,0.43,rain,,257
2017-10-10 15:00:00,16.79,5,1.99,Clear,16.79,0.24,4.93,0.45,rain,,246
2017-10-10 16:00:00,15.91,2,2.72,Clear,15.91,0.19,3.67,0.44,rain,,239
2017-10-10 17:00:00,15.08,1,2.98,Clear,15.08,0.22,2.34,0.42,rain,,223
2017-10-10 18:00:00,13.99,0,1.33,Clear,13.99,0.19,2.89,0.47,rain,,215
2017-10-10 19:00:00,12.56,0,0.38,Clear,12.56,0.19,3.18,0.53,rain,,208
2017-10-10 20:00:00,10.77,0,0.32,Partly Cloudy,10.77,0.39,2.99,0.59,rain,,194
2017-10-10 21:00:00,8.92,0,0.08,Partly Cloudy,8.92,0.37,4.5,0.74,rain,,184
2017-10-10 22:00:00,9.18,0,0.35,Partly Cloudy,9.18,0.36,3.88,0.69,rain,,210
2017-10-10 23:00:00,9.33,0,1.6,Partly Cloudy,8.78,0.35,3.78,0.68,rain,,196
2017-10-11 00:00:00,8.58,0,0.63,Partly Cloudy,8.58,0.35,4.33,0.75,rain,,165
2017-10-11 01:00:00,7.68,0,0.64,Partly Cloudy,7.68,0.36,4.29,0.79,rain,,157
2017-10-11 02:00:00,6.78,0,1.02,Partly Cloudy,6.78,0.37,3.64,0.8,rain,,147
2017-10-11 03:00:00,6.36,0,0.4,Partly Cloudy,6.36,0.38,3.59,0.82,rain,,156
2017-10-11 04:00:00,5.91,0,0.18,Partly Cloudy,5.91,0.39,3.46,0.84,rain,,140
2017-10-11 05:00:00,5.24,0,0.99,Partly Cloudy,5.24,0.4,2.99,0.85,rain,,158
2017-10-11 06:00:00,4.92,0,0.17,Partly Cloudy,4.92,0.42,2.94,0.87,rain,,177
2017-10-11 07:00:00,7.75,1,0.47,Partly Cloudy,7.75,0.43,4.48,0.8,rain,,156
2017-10-11 08:00:00,11.31,2,0.26,Partly Cloudy,11.31,0.44,4.31,0.62,rain,,176
2017-10-11 09:00:00,14.19,5,0.63,Partly Cloudy,14.19,0.45,5.11,0.54,rain,,14
2017-10-11 10:00:00,16.07,7,0.49,Partly Cloudy,16.07,0.46,5.16,0.48,rain,,7
2017-10-11 11:00:00,18.03,8,0.75,Partly Cloudy,18.03,0.47,4.36,0.4,rain,,291
2017-10-11 12:00:00,19.37,8,0.52,Partly Cloudy,19.37,0.48,4.98,0.39,rain,,341
2017-10-11 13:00:00,20.56,8,0.34,Partly Cloudy,20.56,0.48,5.47,0.37,rain,,350
2017-10-11 14:00:00,21.74,6,0.83,Partly Cloudy,21.74,0.48,3.73,0.31,rain,,322
2017-10-11 15:00:00,22.06,4,0.7,Partly Cloudy,22.06,0.47,4.43,0.32,rain,,339
2017-10-11 16:00:00,22.07,2,1.07,Partly Cloudy,22.07,0.46,4.37,0.31,rain,,339
2017-10-11 17:00:00,21.59,1,1.81,Clear,21.59,0.13,2.61,0.29,rain,,322
2017-10-11 18:00:00,19.45,0,1.31,Partly Cloudy,19.45,0.43,3.73,0.35,rain,,355
2017-10-11 19:00:00,17.23,0,0.6,Partly Cloudy,17.23,0.41,3.11,0.39,rain,,336
2017-10-11 20:00:00,15.36,0,0.58,Partly Cloudy,15.36,0.39,3.18,0.44,rain,,329
