datetime,temperature,uvIndex,windSpeed,summary,apparentTemperature,cloudCover,dewPoint,humidity,precipType,pressure,windBearing
2018-03-13 00:00:00,18.08,0,0.72,Partly Cloudy,18.08,0.43,14.82,0.81,rain,,77
2018-03-13 01:00:00,17.18,0,0.39,Partly Cloudy,17.18,0.43,14.46,0.84,rain,,79
2018-03-13 02:00:00,16.81,0,0.72,Mostly Cloudy,16.81,0.75,14.28,0.85,rain,,80
2018-03-13 03:00:00,16.24,0,0.23,Partly Cloudy,16.26,0.44,14.52,0.9,rain,,65
2018-03-13 04:00:00,15.8,0,0.13,Partly Cloudy,15.81,0.45,14.31,0.91,rain,,90
2018-03-13 05:00:00,16.0,0,0.72,Mostly Cloudy,16.0,0.88,14.27,0.9,rain,,75
2018-03-13 06:00:00,16.02,0,0.19,Partly Cloudy,16.02,0.44,14.36,0.9,rain,,64
2018-03-13 07:00:00,15.85,0,0.18,Mostly Cloudy,15.86,0.75,14.36,0.91,rain,,55
2018-03-13 08:00:00,17.55,1,1.07,Mostly Cloudy,17.56,0.61,14.86,0.84,rain,,56
2018-03-13 09:00:00,18.7,3,1.19,Partly Cloudy,18.78,0.44,15.63,0.82,rain,,18
2018-03-13 10:00:00,20.13,5,1.55,Mostly Cloudy,20.2,0.75,15.92,0.77,rain,,7
2018-03-13 11:00:00,21.8,7,1.06,Partly Cloudy,21.84,0.57,15.88,0.69,rain,,348
2018-03-13 12:00:00,23.06,8,1.11,Partly Cloudy,23.17,0.44,16.55,0.67,rain,,343
2018-03-13 13:00:00,23.83,8,0.58,Partly Cloudy,23.93,0.44,16.48,0.64,rain,,353
2018-03-13 14:00:00,25.02,6,0.9,Partly Cloudy,25.02,0.59,15.27,0.55,rain,,331
2018-03-13 15:00:00,25.3,5,0.56,Partly Cloudy,25.31,0.44,15.44,0.54,rain,,0
2018-03-13 16:00:00,25.28,3,0.74,Clear,25.28,0.19,14.67,0.52,rain,,329
2018-03-13 17:00:00,24.68,1,0.7,Partly Cloudy,24.68,0.28,14.31,0.53,rain,,317
2018-03-13 18:00:00,22.94,0,0.32,Mostly Cloudy,22.94,0.65,14.56,0.59,rain,,80
2018-03-13 19:00:00,21.44,0,0.21,Overcast,21.44,1.0,14.23,0.64,rain,,277
2018-03-13 20:00:00,20.12,0,0.64,Partly Cloudy,20.12,0.54,14.02,0.68,rain,,174
2018-03-13 21:00:00,19.16,0,0.12,Partly Cloudy,19.16,0.45,15.08,0.77,rain,,131
2018-03-13 22:00:00,18.06,0,0.0,Partly Cloudy,18.06,0.44,14.72,0.81,rain,,180
2018-03-13 23:00:00,17.79,0,0.1,Partly Cloudy,17.79,0.38,14.02,0.79,rain,,219
2018-03-14 00:00:00,16.22,0,0.0,Partly Cloudy,16.22,0.43,14.24,0.88,rain,,219
