datetime,temperature,uvIndex,windSpeed,summary,apparentTemperature,cloudCover,dewPoint,humidity,precipType,pressure,windBearing
2018-10-03 00:00:00,13.17,0,8.8,Partly Cloudy,13.17,0.44,6.0,0.62,rain,1018.31,150
2018-10-03 01:00:00,13.17,0,7.2,Clear,13.17,0.19,6.0,0.62,rain,1018.04,150
2018-10-03 02:00:00,13.17,0,9.3,Partly Cloudy,13.17,0.49,6.0,0.62,rain,1017.73,161
2018-10-03 03:00:00,13.17,0,8.21,Partly Cloudy,13.17,0.5,5.0,0.58,rain,1017.47,161
2018-10-03 04:00:00,13.17,0,9.8,Breezy and Partly Cloudy,13.17,0.51,5.0,0.58,rain,1017.34,161
2018-10-03 05:00:00,13.17,0,10.3,Breezy and Partly Cloudy,13.17,0.52,4.01,0.54,rain,1017.38,161
2018-10-03 06:00:00,13.17,0,8.8,Partly Cloudy,13.17,0.54,5.0,0.58,rain,1017.58,161
2018-10-03 07:00:00,13.17,0,7.2,Partly Cloudy,13.17,0.55,5.0,0.58,rain,1017.88,140
2018-10-03 08:00:00,14.16,1,10.3,Breezy and Partly Cloudy,14.16,0.56,5.0,0.54,rain,1018.2,150
2018-10-03 09:00:00,15.16,2,8.21,Partly Cloudy,15.16,0.56,6.0,0.54,rain,1018.46,150
2018-10-03 10:00:00,17.16,4,8.21,Partly Cloudy,17.16,0.55,6.0,0.48,rain,1018.58,150
2018-10-03 11:00:00,19.17,6,8.8,Clear,19.17,0.19,5.99,0.42,rain,1018.51,140
2018-10-03 12:00:00,19.17,8,9.3,Clear,19.17,0.19,6.99,0.45,rain,1018.28,150
2018-10-03 13:00:00,21.17,6,8.8,Partly Cloudy,21.17,0.52,5.99,0.37,rain,1017.93,140
2018-10-03 14:00:00,22.17,6,9.3,Partly Cloudy,22.17,0.5,7.99,0.4,rain,1017.55,161
2018-10-03 15:00:00,21.17,4,9.8,Partly Cloudy,21.17,0.49,10.99,0.52,rain,1017.23,180
2018-10-03 16:00:00,20.17,3,11.8,Windy,20.17,0.19,10.99,0.56,rain,1017.06,170
2018-10-03 17:00:00,19.17,1,10.3,Clear,19.17,0.19,10.99,0.59,rain,1017.07,180
2018-10-03 18:00:00,18.16,0,8.21,Clear,18.16,0.19,10.99,0.63,rain,1017.26,180
