datetime,temperature,uvIndex,windSpeed,summary,apparentTemperature,cloudCover,dewPoint,humidity,precipType,pressure,windBearing
2017-02-17 00:00:00,17.58,0,1.53,Partly Cloudy,17.58,0.45,14.76,0.84,rain,,123
2017-02-17 01:00:00,17.24,0,1.39,Partly Cloudy,17.24,0.45,14.68,0.85,rain,,135
2017-02-17 02:00:00,17.08,0,2.61,Overcast,17.08,1.0,14.59,0.85,rain,,138
2017-02-17 03:00:00,17.12,0,1.46,Partly Cloudy,17.12,0.45,14.63,0.85,rain,,139
2017-02-17 04:00:00,17.22,0,2.1,Partly Cloudy,17.23,0.45,14.78,0.86,rain,,135
2017-02-17 05:00:00,17.39,0,1.71,Clear,17.47,0.18,15.31,0.88,rain,,129
2017-02-17 06:00:00,17.29,0,1.75,Partly Cloudy,17.33,0.4,14.94,0.86,rain,,119
2017-02-17 07:00:00,17.6,0,2.6,Partly Cloudy,17.63,0.4,15.03,0.85,rain,,114
2017-02-17 08:00:00,19.17,2,3.69,Partly Cloudy,19.29,0.42,16.1,0.82,rain,,119
2017-02-17 09:00:00,20.93,4,2.42,Partly Cloudy,21.11,0.5,16.86,0.78,rain,,102
2017-02-17 10:00:00,22.03,6,1.98,Partly Cloudy,22.16,0.55,16.62,0.71,rain,,85
2017-02-17 11:00:00,22.62,6,2.85,Mostly Cloudy,22.71,0.77,16.41,0.68,rain,,94
2017-02-17 12:00:00,22.73,7,3.57,Mostly Cloudy,22.91,0.75,17.1,0.71,rain,,85
2017-02-17 13:00:00,22.5,7,1.91,Mostly Cloudy,22.72,0.75,17.51,0.73,rain,,53
2017-02-17 14:00:00,22.51,6,2.9,Mostly Cloudy,22.64,0.75,16.75,0.7,rain,,78
2017-02-17 15:00:00,23.58,5,2.72,Mostly Cloudy,23.68,0.64,16.46,0.64,rain,,56
2017-02-17 16:00:00,22.57,3,3.28,Mostly Cloudy,22.65,0.64,16.29,0.68,rain,,59
2017-02-17 17:00:00,22.51,1,3.4,Mostly Cloudy,22.51,0.76,15.44,0.64,rain,,77
2017-02-17 18:00:00,21.73,0,1.43,Mostly Cloudy,21.76,0.75,15.77,0.69,rain,,69
2017-02-17 19:00:00,20.36,0,1.34,Partly Cloudy,20.36,0.44,15.27,0.73,rain,,62
2017-02-17 20:00:00,19.18,0,2.27,Partly Cloudy,19.18,0.41,14.59,0.75,rain,,70
2017-02-17 21:00:00,18.88,0,0.89,Clear,18.88,0.19,14.68,0.77,rain,,77
2017-02-17 22:00:00,18.86,0,1.17,Clear,18.86,0.19,15.04,0.79,rain,,55
2017-02-17 23:00:00,18.54,0,1.42,Mostly Cloudy,18.54,0.7,14.87,0.79,rain,,71
2017-02-18 00:00:00,18.29,0,1.06,Partly Cloudy,18.31,0.45,15.09,0.82,rain,,45
2017-02-18 01:00:00,17.69,0,1.06,Partly Cloudy,17.78,0.45,15.44,0.87,rain,,51
2017-02-18 02:00:00,17.07,0,1.59,Mostly Cloudy,17.14,0.75,15.16,0.89,rain,,53
2017-02-18 03:00:00,17.06,0,0.7,Partly Cloudy,17.16,0.45,15.35,0.9,rain,,52
2017-02-18 04:00:00,16.98,0,0.82,Partly Cloudy,17.04,0.45,15.08,0.89,rain,,57
2017-02-18 05:00:00,16.75,0,1.05,Partly Cloudy,16.78,0.5,14.81,0.88,rain,,75
2017-02-18 06:00:00,16.72,0,0.87,Partly Cloudy,16.76,0.44,14.81,0.88,rain,,31
2017-02-18 07:00:00,17.16,0,1.12,Partly Cloudy,17.22,0.44,15.1,0.88,rain,,44
2017-02-18 08:00:00,18.18,2,2.39,Mostly Cloudy,18.22,0.73,15.25,0.83,rain,,50
2017-02-18 09:00:00,19.2,4,2.6,Mostly Cloudy,19.28,0.75,15.79,0.81,rain,,25
2017-02-18 10:00:00,20.12,5,3.53,Mostly Cloudy,20.19,0.75,15.84,0.76,rain,,35
2017-02-18 11:00:00,21.04,7,3.0,Mostly Cloudy,21.04,0.73,15.44,0.7,rain,,36
2017-02-18 12:00:00,22.03,7,2.62,Mostly Cloudy,22.08,0.75,16.03,0.69,rain,,38
2017-02-18 13:00:00,22.89,7,1.55,Mostly Cloudy,22.98,0.75,16.38,0.67,rain,,25
2017-02-18 14:00:00,23.51,6,2.71,Mostly Cloudy,23.51,0.78,15.62,0.61,rain,,40
2017-02-18 15:00:00,23.74,5,1.61,Mostly Cloudy,23.81,0.75,16.22,0.63,rain,,30
2017-02-18 16:00:00,23.99,3,1.42,Mostly Cloudy,24.02,0.64,15.81,0.6,rain,,44
2017-02-18 17:00:00,23.91,1,1.63,Mostly Cloudy,23.91,0.74,15.37,0.59,rain,,26
2017-02-18 18:00:00,23.32,0,0.76,Mostly Cloudy,23.32,0.75,15.32,0.61,rain,,34
2017-02-18 19:00:00,21.82,0,0.26,Partly Cloudy,21.85,0.44,15.77,0.69,rain,,26
2017-02-18 20:00:00,19.94,0,0.21,Clear,19.94,0.24,14.82,0.72,rain,,48
