datetime,temperature,uvIndex,windSpeed,summary,apparentTemperature,cloudCover,dewPoint,humidity,precipType,pressure,windBearing
2018-07-13 00:00:00,9.06,0,1.09,Clear,9.06,0.11,1.93,0.61,rain,,19
2018-07-13 01:00:00,8.12,0,1.75,Clear,7.24,0.11,1.93,0.65,rain,,358
2018-07-13 02:00:00,10.25,0,1.82,Clear,10.25,0.12,2.47,0.58,rain,,344
2018-07-13 03:00:00,8.19,0,0.46,Clear,8.19,0.12,2.47,0.67,rain,,113
2018-07-13 04:00:00,8.19,0,1.38,Clear,7.72,0.13,2.47,0.67,rain,,322
2018-07-13 05:00:00,8.19,0,0.0,Clear,8.19,0.15,2.94,0.69,rain,,322
2018-07-13 06:00:00,7.66,0,0.0,Clear,7.66,0.16,3.94,0.77,rain,,322
2018-07-13 07:00:00,7.13,0,0.0,Clear,7.13,0.17,3.41,0.77,rain,,322
2018-07-13 08:00:00,8.73,0,0.29,Clear,8.73,0.19,4.94,0.77,rain,,49
2018-07-13 09:00:00,11.25,1,0.29,Clear,11.25,0.2,4.94,0.65,rain,,43
2018-07-13 10:00:00,13.79,3,2.1,Clear,13.79,0.21,5.47,0.57,rain,,19
2018-07-13 11:00:00,15.79,4,3.68,Clear,15.79,0.19,5.07,0.49,rain,,355
2018-07-13 12:00:00,16.78,5,5.02,Clear,16.78,0.19,4.59,0.44,rain,,349
2018-07-13 13:00:00,17.78,4,5.24,Clear,17.78,0.19,3.07,0.37,rain,,353
2018-07-13 14:00:00,18.32,3,5.35,Clear,18.32,0.19,2.53,0.35,rain,,353
2018-07-13 15:00:00,18.32,2,4.97,Clear,18.32,0.19,1.07,0.31,rain,,336
2018-07-13 16:00:00,17.86,1,3.79,Clear,17.86,0.19,0.54,0.31,rain,,331
2018-07-13 17:00:00,17.32,0,3.51,Clear,17.32,0.19,0.54,0.32,rain,,325
2018-07-13 18:00:00,15.79,0,1.67,Clear,15.79,0.18,0.54,0.35,rain,,288
2018-07-13 19:00:00,15.79,0,1.1,Clear,15.79,0.16,0.99,0.37,rain,,282
2018-07-13 20:00:00,14.26,0,0.95,Clear,14.26,0.14,1.53,0.42,rain,,316
2018-07-13 21:00:00,13.19,0,0.8,Clear,13.19,0.13,1.53,0.45,rain,,314
2018-07-13 22:00:00,11.18,0,1.23,Clear,11.18,0.12,1.0,0.49,rain,,0
2018-07-13 23:00:00,10.19,0,0.84,Clear,10.19,0.11,1.53,0.55,rain,,5
2018-07-14 00:00:00,10.19,0,0.91,Clear,10.19,0.11,1.08,0.53,rain,,49
2018-07-14 01:00:00,10.19,0,0.91,Clear,10.19,0.11,0.6,0.51,rain,,49
2018-07-14 02:00:00,8.12,0,0.94,Clear,8.12,0.12,0.06,0.57,rain,,197
2018-07-14 03:00:00,8.12,0,0.4,Clear,8.12,0.12,0.54,0.59,rain,,316
2018-07-14 04:00:00,7.59,0,0.63,Clear,7.59,0.13,0.99,0.63,rain,,180
2018-07-14 05:00:00,6.66,0,2.67,Clear,4.73,0.15,2.41,0.74,rain,,199
2018-07-14 06:00:00,7.25,0,1.56,Clear,6.44,0.16,2.47,0.72,rain,,116
2018-07-14 07:00:00,6.72,0,1.13,Clear,6.72,0.17,2.94,0.77,rain,,138
2018-07-14 08:00:00,8.79,0,2.45,Clear,7.43,0.19,3.48,0.69,rain,,143
2018-07-14 09:00:00,10.25,1,2.15,Clear,10.25,0.19,4.01,0.65,rain,,152
2018-07-14 10:00:00,12.32,3,2.0,Clear,12.32,0.19,4.48,0.59,rain,,162
2018-07-14 11:00:00,14.32,4,1.63,Clear,14.32,0.22,4.54,0.52,rain,,225
2018-07-14 12:00:00,13.85,4,2.96,Partly Cloudy,13.85,0.58,4.01,0.51,rain,,234
2018-07-14 13:00:00,12.85,4,2.16,Partly Cloudy,12.85,0.58,5.0,0.59,rain,,249
2018-07-14 14:00:00,13.85,3,1.56,Partly Cloudy,13.85,0.58,5.47,0.57,rain,,268
2018-07-14 15:00:00,14.86,2,2.38,Clear,14.86,0.19,4.54,0.5,rain,,303
2018-07-14 16:00:00,15.85,1,1.53,Clear,15.85,0.19,4.01,0.45,rain,,333
2018-07-14 17:00:00,15.32,0,2.24,Clear,15.32,0.19,3.54,0.45,rain,,333
2018-07-14 18:00:00,13.79,0,1.01,Partly Cloudy,13.79,0.44,3.48,0.5,rain,,315
2018-07-14 19:00:00,12.32,0,2.61,Partly Cloudy,12.32,0.32,4.54,0.59,rain,,179
2018-07-14 20:00:00,11.78,0,1.48,Clear,11.78,0.19,4.54,0.61,rain,,192
2018-07-14 21:00:00,9.78,0,1.34,Clear,9.78,0.13,3.6,0.65,rain,,155
2018-07-14 22:00:00,8.26,0,1.92,Clear,7.23,0.12,4.01,0.75,rain,,198
2018-07-14 23:00:00,7.79,0,2.1,Clear,6.53,0.11,4.48,0.8,rain,,200
