datetime,temperature,uvIndex,windSpeed,summary,apparentTemperature,cloudCover,dewPoint,humidity,precipType,pressure,windBearing
2017-12-12 00:00:00,17.66,0,2.01,Partly Cloudy,17.66,0.38,11.41,0.67,rain,1014.78,162
2017-12-12 01:00:00,17.79,0,1.35,Clear,17.79,0.19,11.13,0.65,rain,1014.51,137
2017-12-12 02:00:00,17.61,0,4.38,Clear,17.61,0.19,10.39,0.63,rain,1014.25,150
2017-12-12 03:00:00,17.23,0,2.47,Clear,17.23,0.19,10.79,0.66,rain,1013.94,164
2017-12-12 04:00:00,16.82,0,1.64,Partly Cloudy,16.82,0.4,10.81,0.68,rain,1013.8,180
2017-12-12 05:00:00,16.52,0,4.01,Partly Cloudy,16.52,0.41,10.86,0.69,rain,1014.11,170
2017-12-12 06:00:00,16.49,0,2.28,Partly Cloudy,16.49,0.43,11.84,0.74,rain,1014.0,167
2017-12-12 07:00:00,17.26,1,2.56,Partly Cloudy,17.26,0.44,11.62,0.69,rain,1014.3,164
2017-12-12 08:00:00,18.67,2,4.95,Mostly Cloudy,18.67,0.78,10.31,0.58,rain,1015.93,168
2017-12-12 09:00:00,20.49,4,2.31,Clear,20.49,0.19,10.91,0.54,rain,1014.89,180
2017-12-12 10:00:00,20.93,7,2.61,Clear,20.93,0.19,10.78,0.52,rain,1015.02,171
2017-12-12 11:00:00,21.52,9,3.55,Clear,21.52,0.19,9.29,0.46,rain,1016.11,178
2017-12-12 12:00:00,22.96,10,1.71,Clear,22.96,0.19,9.81,0.43,rain,1014.75,173
2017-12-12 13:00:00,23.89,9,1.73,Partly Cloudy,23.89,0.41,9.81,0.41,rain,1014.4,149
2017-12-12 14:00:00,21.33,9,5.1,Partly Cloudy,21.33,0.25,10.14,0.49,rain,1015.44,197
2017-12-12 15:00:00,23.28,7,2.97,Partly Cloudy,23.28,0.39,10.39,0.44,rain,1013.69,160
2017-12-12 16:00:00,23.11,5,1.97,Partly Cloudy,23.11,0.38,11.52,0.48,rain,1013.51,160
2017-12-12 17:00:00,20.05,3,4.35,Partly Cloudy,20.05,0.38,11.61,0.58,rain,1014.73,180
2017-12-12 18:00:00,21.56,1,1.66,Partly Cloudy,21.56,0.38,11.86,0.54,rain,1013.67,163
2017-12-12 19:00:00,19.16,0,0.85,Partly Cloudy,19.16,0.38,10.57,0.58,rain,1013.98,156
2017-12-12 20:00:00,17.71,0,4.01,Partly Cloudy,17.71,0.5,10.29,0.62,rain,1015.17,162
2017-12-12 21:00:00,17.19,0,1.11,Partly Cloudy,17.19,0.38,11.12,0.67,rain,1014.65,136
2017-12-12 22:00:00,17.01,0,1.1,Partly Cloudy,17.01,0.38,10.85,0.67,rain,1014.84,151
2017-12-12 23:00:00,16.59,0,2.71,Partly Cloudy,16.59,0.38,10.13,0.66,rain,1016.35,158
2017-12-13 00:00:00,16.56,0,0.52,Partly Cloudy,16.56,0.38,10.42,0.67,rain,1014.72,128
2017-12-13 01:00:00,15.61,0,0.37,Clear,15.61,0.19,10.54,0.72,rain,1014.46,165
2017-12-13 02:00:00,15.33,0,1.6,Clear,15.33,0.19,9.25,0.67,rain,1015.29,181
2017-12-13 03:00:00,14.67,0,0.38,Partly Cloudy,14.67,0.44,9.29,0.7,rain,1013.88,152
2017-12-13 04:00:00,13.73,0,0.33,Mostly Cloudy,13.73,0.75,8.73,0.72,rain,1013.74,180
2017-12-13 05:00:00,13.84,0,0.35,Mostly Cloudy,13.84,0.75,9.33,0.74,rain,1014.36,9
2017-12-13 06:00:00,13.63,0,0.02,Mostly Cloudy,13.63,0.75,9.3,0.75,rain,1013.94,270
2017-12-13 07:00:00,16.31,1,0.0,Mostly Cloudy,16.31,0.75,10.8,0.7,rain,1014.24,270
2017-12-13 08:00:00,15.58,2,0.82,Mostly Cloudy,15.58,0.82,11.07,0.75,rain,1015.82,336
2017-12-13 09:00:00,15.87,3,0.69,Mostly Cloudy,15.87,0.75,11.99,0.78,rain,1014.83,321
