datetime,temperature,uvIndex,windSpeed,summary,apparentTemperature,cloudCover,dewPoint,humidity,precipType,pressure,windBearing
2018-02-05 00:00:00,18.74,0,1.5,Partly Cloudy,18.74,0.34,12.53,0.67,rain,1009.7,174
2018-02-05 01:00:00,18.32,0,1.63,Partly Cloudy,18.32,0.34,12.54,0.69,rain,1009.31,168
2018-02-05 02:00:00,17.72,0,0.34,Partly Cloudy,17.72,0.34,11.56,0.67,rain,1009.6,130
2018-02-05 03:00:00,17.62,0,2.44,Partly Cloudy,17.62,0.34,11.99,0.7,rain,1007.7,227
2018-02-05 04:00:00,17.46,0,1.27,Partly Cloudy,17.46,0.35,11.94,0.7,rain,1007.21,230
2018-02-05 05:00:00,16.97,0,2.57,Partly Cloudy,16.97,0.36,12.45,0.75,rain,1007.69,154
2018-02-05 06:00:00,17.14,0,1.12,Partly Cloudy,17.14,0.38,11.46,0.69,rain,1006.8,230
2018-02-05 07:00:00,17.78,0,0.68,Partly Cloudy,17.78,0.39,11.49,0.67,rain,1006.6,201
2018-02-05 08:00:00,19.31,1,1.08,Clear,19.31,0.13,11.57,0.61,rain,1006.89,134
2018-02-05 09:00:00,24.37,3,0.72,Partly Cloudy,24.37,0.41,11.78,0.45,rain,1006.5,180
2018-02-05 10:00:00,24.94,5,0.76,Partly Cloudy,24.94,0.41,10.75,0.41,rain,1006.5,260
2018-02-05 11:00:00,28.29,7,0.55,Partly Cloudy,28.29,0.4,10.38,0.33,rain,1006.34,229
2018-02-05 12:00:00,30.75,8,0.58,Partly Cloudy,30.75,0.39,9.51,0.27,rain,1006.0,194
2018-02-05 13:00:00,32.78,9,1.81,Partly Cloudy,32.78,0.37,8.03,0.22,rain,1005.1,232
2018-02-05 14:00:00,33.09,8,1.53,Partly Cloudy,33.09,0.36,8.98,0.23,rain,1005.26,275
2018-02-05 15:00:00,33.69,7,1.06,Partly Cloudy,33.69,0.35,8.23,0.21,rain,1004.81,177
2018-02-05 16:00:00,33.64,5,0.94,Partly Cloudy,33.64,0.34,7.23,0.2,rain,1004.5,261
2018-02-05 17:00:00,32.63,3,2.14,Partly Cloudy,32.63,0.34,11.72,0.28,rain,1004.78,224
2018-02-05 18:00:00,31.01,1,2.77,Partly Cloudy,31.01,0.34,8.72,0.25,rain,1004.81,239
2018-02-05 19:00:00,27.48,0,1.96,Partly Cloudy,27.48,0.34,13.29,0.42,rain,1006.31,229
2018-02-05 20:00:00,23.97,0,1.29,Mostly Cloudy,23.97,0.88,12.86,0.5,rain,1008.31,189
2018-02-05 21:00:00,21.21,0,1.02,Partly Cloudy,21.26,0.34,15.88,0.72,rain,1008.6,134
2018-02-05 22:00:00,20.44,0,1.02,Partly Cloudy,20.53,0.34,16.12,0.76,rain,1009.7,143
2018-02-05 23:00:00,20.16,0,2.18,Partly Cloudy,20.24,0.34,15.98,0.77,rain,1010.54,180
2018-02-06 00:00:00,20.09,0,0.85,Partly Cloudy,20.21,0.34,16.29,0.79,rain,1010.01,252
2018-02-06 01:00:00,19.72,0,0.86,Partly Cloudy,19.84,0.33,16.22,0.8,rain,1008.79,180
2018-02-06 02:00:00,19.29,0,0.47,Partly Cloudy,19.29,0.34,14.99,0.76,rain,1009.33,194
2018-02-06 03:00:00,19.18,0,0.98,Partly Cloudy,19.24,0.34,15.66,0.8,rain,1008.79,254
2018-02-06 04:00:00,18.98,0,0.4,Partly Cloudy,19.08,0.35,15.86,0.82,rain,1008.79,176
2018-02-06 05:00:00,18.14,0,1.18,Partly Cloudy,18.14,0.36,14.98,0.82,rain,1008.98,150
2018-02-06 06:00:00,18.28,0,0.69,Partly Cloudy,18.36,0.38,15.49,0.84,rain,1009.79,220
2018-02-06 07:00:00,18.78,0,0.66,Partly Cloudy,18.78,0.39,15.09,0.79,rain,1012.09,336
2018-02-06 08:00:00,19.09,1,1.69,Overcast,19.15,1.0,15.61,0.8,rain,1012.91,331
2018-02-06 09:00:00,20.3,3,0.14,Partly Cloudy,20.41,0.41,16.21,0.77,rain,1012.21,335
2018-02-06 10:00:00,22.66,5,0.57,Partly Cloudy,22.76,0.4,16.44,0.68,rain,1012.21,312
2018-02-06 11:00:00,24.16,7,1.36,Partly Cloudy,24.29,0.4,16.9,0.64,rain,1012.94,266
2018-02-06 12:00:00,26.09,8,1.69,Partly Cloudy,26.28,0.39,17.21,0.58,rain,1013.5,270
2018-02-06 13:00:00,26.91,9,1.91,Partly Cloudy,27.57,0.37,16.81,0.54,rain,1013.29,255
2018-02-06 14:00:00,23.59,7,2.14,Mostly Cloudy,23.7,0.63,16.57,0.65,rain,1013.77,262
2018-02-06 15:00:00,28.44,7,1.91,Clear,28.95,0.19,16.97,0.5,rain,1012.8,248
2018-02-06 16:00:00,27.82,5,1.56,Clear,28.26,0.19,16.43,0.5,rain,1012.4,238
2018-02-06 17:00:00,25.18,3,3.32,Partly Cloudy,25.23,0.34,15.9,0.56,rain,1013.38,249
2018-02-06 18:00:00,26.24,1,1.7,Partly Cloudy,26.24,0.34,15.1,0.5,rain,1012.8,183
2018-02-06 19:00:00,25.52,0,2.01,Partly Cloudy,25.55,0.34,15.66,0.54,rain,1012.8,210
2018-02-06 20:00:00,22.83,0,1.89,Mostly Cloudy,22.83,0.69,15.52,0.63,rain,1014.26,214
2018-02-06 21:00:00,22.43,0,0.93,Partly Cloudy,22.52,0.34,16.38,0.69,rain,1014.11,194
2018-02-06 22:00:00,21.35,0,1.04,Mostly Cloudy,21.51,0.75,16.81,0.75,rain,1014.11,162
2018-02-06 23:00:00,20.31,0,2.59,Mostly Cloudy,20.49,0.75,16.79,0.8,rain,1015.1,163
2018-02-07 00:00:00,20.24,0,2.38,Mostly Cloudy,20.43,0.75,16.8,0.81,rain,1014.2,168
2018-02-07 01:00:00,20.24,0,2.04,Partly Cloudy,20.34,0.44,16.17,0.77,rain,1013.8,152
2018-02-07 02:00:00,19.85,0,3.22,Clear,19.88,0.19,15.52,0.76,rain,1014.42,155
2018-02-07 03:00:00,19.62,0,2.22,Clear,19.64,0.19,15.47,0.77,rain,1013.41,166
2018-02-07 04:00:00,19.41,0,2.34,Clear,19.41,0.19,15.1,0.76,rain,1012.71,169
2018-02-07 05:00:00,19.06,0,2.8,Clear,19.06,0.19,14.44,0.75,rain,1013.52,154
