datetime,temperature,uvIndex,windSpeed,summary,apparentTemperature,cloudCover,dewPoint,humidity,precipType,pressure,windBearing
2018-09-28 00:00:00,20.53,0,2.38,Clear,20.53,0.19,8.0,0.44,rain,,336
2018-09-28 01:00:00,17.33,0,3.5,Clear,17.33,0.19,9.92,0.62,rain,,31
2018-09-28 02:00:00,18.26,0,0.59,Partly Cloudy,18.26,0.31,9.06,0.55,rain,,30
2018-09-28 03:00:00,17.66,0,0.6,Partly Cloudy,17.66,0.32,9.06,0.57,rain,,96
2018-09-28 04:00:00,16.47,0,2.79,Partly Cloudy,16.47,0.34,8.34,0.59,rain,,69
2018-09-28 05:00:00,15.53,0,0.93,Partly Cloudy,15.53,0.35,8.2,0.62,rain,,90
2018-09-28 06:00:00,14.79,0,0.01,Partly Cloudy,14.79,0.36,9.46,0.7,rain,,90
2018-09-28 07:00:00,17.13,0,0.3,Partly Cloudy,17.13,0.37,9.59,0.61,rain,,0
2018-09-28 08:00:00,20.53,2,1.18,Partly Cloudy,20.53,0.38,10.47,0.53,rain,,0
2018-09-28 09:00:00,23.11,4,4.02,Partly Cloudy,23.11,0.39,10.12,0.44,rain,,354
2018-09-28 10:00:00,25.12,6,5.66,Partly Cloudy,25.12,0.4,8.66,0.35,rain,,353
2018-09-28 11:00:00,26.53,8,6.49,Partly Cloudy,26.53,0.41,8.24,0.31,rain,,353
2018-09-28 12:00:00,28.32,9,6.15,Clear,28.32,0.19,6.19,0.25,rain,,351
2018-09-28 13:00:00,29.33,9,6.72,Clear,29.33,0.19,4.46,0.21,rain,,341
2018-09-28 14:00:00,29.73,7,5.32,Clear,29.73,0.19,4.93,0.21,rain,,337
2018-09-28 15:00:00,30.19,4,6.59,Clear,30.19,0.19,5.19,0.21,rain,,318
2018-09-28 16:00:00,28.41,2,6.08,Clear,28.41,0.19,4.86,0.22,rain,,286
2018-09-28 17:00:00,17.83,0,6.39,Clear,17.83,0.19,11.53,0.67,rain,,209
2018-09-28 18:00:00,15.6,0,7.75,Breezy,15.6,0.24,13.0,0.85,rain,,187
2018-09-28 19:00:00,14.86,0,3.5,Clear,14.86,0.19,11.41,0.8,rain,,171
2018-09-28 20:00:00,14.86,0,0.43,Partly Cloudy,14.86,0.25,11.81,0.82,rain,,115
2018-09-28 21:00:00,15.26,0,1.06,Partly Cloudy,15.26,0.25,11.81,0.8,rain,,163
2018-09-28 22:00:00,15.19,0,1.34,Partly Cloudy,15.19,0.25,10.81,0.75,rain,,163
2018-09-28 23:00:00,14.79,0,1.71,Clear,14.79,0.19,11.59,0.81,rain,,193
2018-09-29 00:00:00,14.66,0,0.41,Partly Cloudy,14.66,0.31,10.81,0.78,rain,,90
2018-09-29 01:00:00,14.19,0,1.14,Partly Cloudy,14.19,0.31,10.41,0.78,rain,,15
2018-09-29 02:00:00,13.79,0,0.38,Partly Cloudy,13.79,0.32,10.41,0.8,rain,,180
2018-09-29 03:00:00,12.93,0,0.92,Partly Cloudy,12.93,0.33,9.94,0.82,rain,,141
2018-09-29 04:00:00,13.19,0,0.65,Partly Cloudy,13.19,0.34,9.54,0.79,rain,,61
2018-09-29 05:00:00,12.59,0,0.41,Partly Cloudy,12.59,0.35,9.34,0.81,rain,,177
2018-09-29 06:00:00,11.65,0,1.76,Partly Cloudy,11.65,0.36,9.6,0.87,rain,,196
2018-09-29 07:00:00,13.06,1,0.48,Partly Cloudy,13.06,0.38,10.59,0.85,rain,,229
2018-09-29 08:00:00,18.24,2,0.32,Partly Cloudy,18.24,0.39,11.59,0.65,rain,,90
2018-09-29 09:00:00,22.03,4,1.13,Partly Cloudy,22.03,0.4,11.24,0.5,rain,,103
2018-09-29 10:00:00,23.66,6,2.42,Partly Cloudy,23.66,0.41,8.2,0.37,rain,,90
2018-09-29 11:00:00,24.78,8,3.29,Partly Cloudy,24.78,0.41,9.06,0.37,rain,,92
2018-09-29 12:00:00,25.32,9,4.19,Clear,25.32,0.19,9.33,0.36,rain,,108
2018-09-29 13:00:00,26.33,9,4.15,Clear,26.33,0.19,8.45,0.32,rain,,94
2018-09-29 14:00:00,26.19,7,2.77,Clear,26.19,0.19,7.12,0.3,rain,,88
2018-09-29 15:00:00,26.46,4,3.84,Partly Cloudy,26.46,0.44,7.06,0.29,rain,,108
2018-09-29 16:00:00,25.58,2,3.64,Partly Cloudy,25.58,0.44,6.06,0.29,rain,,106
2018-09-29 17:00:00,24.92,0,4.3,Partly Cloudy,24.92,0.44,5.48,0.29,rain,,87
2018-09-29 18:00:00,22.05,0,5.92,Clear,22.05,0.19,6.81,0.37,rain,,49
2018-09-29 19:00:00,18.86,0,4.62,Clear,18.86,0.19,7.81,0.49,rain,,56
2018-09-29 20:00:00,17.46,0,6.44,Clear,17.46,0.19,7.67,0.53,rain,,76
2018-09-29 21:00:00,14.46,0,6.54,Partly Cloudy,14.46,0.33,7.53,0.63,rain,,72
2018-09-29 22:00:00,13.46,0,7.05,Breezy and Partly Cloudy,13.46,0.32,7.67,0.68,rain,,86
2018-09-29 23:00:00,12.59,0,7.05,Breezy and Partly Cloudy,12.59,0.31,8.14,0.74,rain,,86
2018-09-30 00:00:00,11.99,0,5.35,Partly Cloudy,11.99,0.31,8.01,0.77,rain,,73
2018-09-30 01:00:00,11.86,0,4.43,Partly Cloudy,11.86,0.31,8.01,0.77,rain,,66
2018-09-30 02:00:00,10.99,0,3.59,Partly Cloudy,10.99,0.32,8.01,0.82,rain,,62
2018-09-30 03:00:00,10.86,0,3.06,Partly Cloudy,10.86,0.33,8.01,0.83,rain,,56
2018-09-30 04:00:00,10.32,0,2.03,Clear,10.32,0.19,8.14,0.86,rain,,55
2018-09-30 05:00:00,9.99,0,1.9,Partly Cloudy,9.27,0.52,8.14,0.88,rain,,52
2018-09-30 06:00:00,11.37,0,2.9,Mostly Cloudy,11.37,0.75,9.01,0.85,rain,,60
2018-09-30 07:00:00,11.86,0,2.53,Overcast,11.86,0.94,9.14,0.83,rain,,25
2018-09-30 08:00:00,11.99,2,3.87,Overcast,11.99,0.94,9.14,0.83,rain,,20
2018-09-30 09:00:00,14.86,3,4.05,Mostly Cloudy,14.86,0.86,9.0,0.68,rain,,21
2018-09-30 10:00:00,17.72,7,5.11,Partly Cloudy,17.72,0.34,6.86,0.49,rain,,37
2018-09-30 11:00:00,19.12,9,5.99,Clear,19.12,0.19,5.99,0.42,rain,,15
2018-09-30 12:00:00,20.61,8,5.57,Partly Cloudy,20.61,0.42,5.25,0.37,rain,,5
2018-09-30 13:00:00,21.11,8,4.89,Partly Cloudy,21.11,0.43,5.51,0.36,rain,,2
2018-09-30 14:00:00,23.18,6,3.1,Partly Cloudy,23.18,0.43,4.87,0.3,rain,,3
2018-09-30 15:00:00,22.12,4,3.43,Partly Cloudy,22.12,0.42,4.01,0.31,rain,,0
2018-09-30 16:00:00,22.12,2,4.55,Partly Cloudy,22.12,0.41,3.45,0.29,rain,,345
2018-09-30 17:00:00,21.37,0,4.49,Partly Cloudy,21.37,0.4,2.42,0.29,rain,,355
2018-09-30 18:00:00,20.7,0,4.59,Partly Cloudy,20.7,0.39,2.46,0.3,rain,,1
2018-09-30 19:00:00,18.26,0,2.68,Partly Cloudy,18.26,0.37,3.27,0.37,rain,,13
2018-09-30 20:00:00,16.33,0,2.43,Partly Cloudy,16.33,0.35,4.61,0.46,rain,,23
2018-09-30 21:00:00,14.93,0,1.64,Partly Cloudy,14.93,0.33,4.01,0.48,rain,,30
2018-09-30 22:00:00,13.93,0,1.23,Partly Cloudy,13.93,0.32,4.29,0.52,rain,,30
2018-09-30 23:00:00,14.33,0,3.36,Partly Cloudy,14.33,0.32,5.14,0.54,rain,,357
2018-10-01 00:00:00,13.66,0,3.51,Partly Cloudy,13.66,0.31,5.54,0.58,rain,,8
2018-10-01 01:00:00,12.33,0,2.66,Partly Cloudy,12.33,0.32,6.0,0.65,rain,,359
2018-10-01 02:00:00,11.79,0,2.31,Partly Cloudy,11.79,0.33,6.0,0.68,rain,,6
2018-10-01 03:00:00,10.79,0,1.04,Partly Cloudy,10.79,0.34,6.0,0.72,rain,,320
2018-10-01 04:00:00,10.18,0,0.75,Partly Cloudy,10.18,0.35,6.0,0.75,rain,,323
2018-10-01 05:00:00,9.73,0,0.72,Partly Cloudy,9.73,0.36,6.0,0.78,rain,,321
2018-10-01 06:00:00,9.99,0,0.08,Partly Cloudy,9.99,0.37,6.0,0.76,rain,,137
2018-10-01 07:00:00,11.38,1,0.0,Partly Cloudy,11.38,0.39,6.99,0.74,rain,,137
2018-10-01 08:00:00,15.52,2,0.0,Partly Cloudy,15.52,0.4,7.22,0.58,rain,,137
2018-10-01 09:00:00,19.31,4,0.57,Partly Cloudy,19.31,0.41,6.22,0.42,rain,,9
2018-10-01 10:00:00,21.93,6,1.48,Partly Cloudy,21.93,0.41,1.16,0.25,rain,,325
2018-10-01 11:00:00,21.93,8,1.25,Partly Cloudy,21.93,0.42,1.53,0.26,rain,,308
2018-10-01 12:00:00,24.12,8,1.01,Partly Cloudy,24.12,0.43,0.56,0.21,rain,,279
2018-10-01 13:00:00,24.26,8,1.59,Partly Cloudy,24.26,0.43,-0.52,0.19,rain,,342
2018-10-01 14:00:00,25.11,6,1.28,Partly Cloudy,25.11,0.43,-3.07,0.15,rain,,317
2018-10-01 15:00:00,25.11,4,1.43,Partly Cloudy,25.11,0.43,-3.98,0.14,rain,,331
2018-10-01 16:00:00,26.33,2,1.22,Partly Cloudy,26.33,0.42,-4.51,0.13,rain,,327
2018-10-01 17:00:00,25.71,0,2.07,Partly Cloudy,25.71,0.41,-4.77,0.13,rain,,301
2018-10-01 18:00:00,24.12,0,2.95,Partly Cloudy,24.12,0.39,-3.03,0.16,rain,,344
2018-10-01 19:00:00,20.98,0,1.73,Partly Cloudy,20.98,0.37,-0.59,0.24,rain,,0
2018-10-01 20:00:00,19.13,0,0.43,Partly Cloudy,19.13,0.35,0.29,0.28,rain,,352
2018-10-01 21:00:00,17.66,0,0.49,Partly Cloudy,17.66,0.34,0.16,0.31,rain,,270
2018-10-01 22:00:00,17.06,0,0.0,Partly Cloudy,17.06,0.33,0.2,0.32,rain,,270
2018-10-01 23:00:00,16.66,0,0.0,Partly Cloudy,16.66,0.32,0.2,0.33,rain,,270
2018-10-02 00:00:00,15.64,0,0.0,Partly Cloudy,15.64,0.32,-0.12,0.34,rain,,270
2018-10-02 01:00:00,15.18,0,0.0,Partly Cloudy,15.18,0.32,0.02,0.36,rain,,270
2018-10-02 02:00:00,14.77,0,0.06,Partly Cloudy,14.77,0.33,-0.37,0.35,rain,,0
2018-10-02 03:00:00,13.38,0,0.17,Partly Cloudy,13.38,0.34,-0.18,0.39,rain,,11
2018-10-02 04:00:00,13.64,0,0.12,Partly Cloudy,13.64,0.35,-0.45,0.38,rain,,140
2018-10-02 05:00:00,13.18,0,0.0,Partly Cloudy,13.18,0.37,-0.51,0.39,rain,,140
2018-10-02 06:00:00,12.78,0,0.45,Partly Cloudy,12.78,0.38,0.34,0.42,rain,,274
2018-10-02 07:00:00,14.25,1,0.45,Partly Cloudy,14.25,0.39,1.54,0.42,rain,,274
2018-10-02 08:00:00,18.44,2,0.47,Partly Cloudy,18.44,0.4,1.21,0.31,rain,,315
