datetime,temperature,uvIndex,windSpeed,summary,apparentTemperature,cloudCover,dewPoint,humidity,precipType,pressure,windBearing
2018-09-27 00:00:00,20.14,0,5.89,Partly Cloudy,20.14,0.3,3.66,0.34,rain,,85
2018-09-27 01:00:00,19.88,0,2.74,Partly Cloudy,19.88,0.3,4.34,0.36,rain,,68
2018-09-27 02:00:00,19.24,0,2.32,Partly Cloudy,19.24,0.3,3.68,0.36,rain,,27
2018-09-27 03:00:00,18.91,0,3.62,Partly Cloudy,18.91,0.31,3.68,0.36,rain,,18
2018-09-27 04:00:00,18.27,0,3.18,Partly Cloudy,18.27,0.32,4.01,0.39,rain,,27
2018-09-27 05:00:00,19.21,0,2.18,Partly Cloudy,19.21,0.33,3.68,0.36,rain,,19
2018-09-27 06:00:00,18.21,0,2.34,Partly Cloudy,18.21,0.35,4.01,0.39,rain,,13
2018-09-27 07:00:00,18.49,0,2.16,Partly Cloudy,18.49,0.36,5.0,0.41,rain,,10
2018-09-27 08:00:00,22.04,2,2.7,Partly Cloudy,22.04,0.38,4.99,0.33,rain,,11
2018-09-27 09:00:00,24.18,4,5.59,Partly Cloudy,24.18,0.39,5.34,0.3,rain,,4
2018-09-27 10:00:00,26.18,6,4.95,Partly Cloudy,26.18,0.4,5.33,0.26,rain,,354
2018-09-27 11:00:00,27.86,8,3.32,Partly Cloudy,27.86,0.41,5.33,0.24,rain,,351
2018-09-27 12:00:00,29.21,8,4.88,Partly Cloudy,29.21,0.42,4.99,0.22,rain,,341
2018-09-27 13:00:00,30.18,7,5.11,Partly Cloudy,30.18,0.42,4.41,0.2,rain,,331
2018-09-27 14:00:00,31.17,6,5.67,Partly Cloudy,31.17,0.42,3.72,0.18,rain,,311
2018-09-27 15:00:00,31.18,4,4.93,Partly Cloudy,31.18,0.41,3.04,0.17,rain,,324
2018-09-27 16:00:00,30.86,2,5.57,Partly Cloudy,30.86,0.4,2.73,0.17,rain,,329
2018-09-27 17:00:00,30.58,0,5.26,Partly Cloudy,30.58,0.38,2.98,0.17,rain,,322
2018-09-27 18:00:00,28.59,0,2.31,Partly Cloudy,28.59,0.36,2.98,0.19,rain,,323
2018-09-27 19:00:00,25.82,0,1.78,Partly Cloudy,25.82,0.35,5.02,0.26,rain,,315
2018-09-27 20:00:00,24.85,0,1.18,Partly Cloudy,24.85,0.33,4.67,0.27,rain,,0
2018-09-27 21:00:00,22.18,0,3.42,Partly Cloudy,22.18,0.32,6.7,0.37,rain,,31
2018-09-27 22:00:00,21.18,0,2.32,Partly Cloudy,21.18,0.31,6.66,0.39,rain,,9
2018-09-27 23:00:00,20.85,0,2.16,Partly Cloudy,20.85,0.3,6.35,0.39,rain,,10
2018-09-28 00:00:00,21.79,0,2.63,Clear,21.79,0.19,7.99,0.41,rain,,323
2018-09-28 01:00:00,18.86,0,3.55,Clear,18.86,0.19,9.65,0.55,rain,,29
2018-09-28 02:00:00,19.85,0,0.72,Partly Cloudy,19.85,0.31,9.01,0.5,rain,,15
2018-09-28 03:00:00,19.16,0,1.58,Partly Cloudy,19.16,0.32,9.01,0.52,rain,,60
