parameter,value
peak_power,113.0
install_date,2017-12-07
country,South Africa
city,Port Elizabeth
address1,Hiles Road 1
address2,
zip_code,6060
module_brand,Canadian Solar
module_model,CS6U 330P
module_power,330.0
module_temp_co,-0.41
n_inverters,4
