date,power
02-08-18 22:45,233049.95
02-08-18 23:00,217594.16
02-08-18 23:15,204784.98
02-08-18 23:30,211270.44
02-08-18 23:45,222796.52
03-08-18 0:00,210372.11
03-08-18 0:15,217237.34
03-08-18 0:30,206246.28
03-08-18 0:45,215024.36
03-08-18 1:00,207097.11
03-08-18 1:15,198321.98
03-08-18 1:30,207332.77
03-08-18 1:45,212993.86
03-08-18 2:00,205449.02
03-08-18 2:15,220807.12
03-08-18 2:30,232563.61
03-08-18 2:45,234213.66
03-08-18 3:00,224326.64
03-08-18 3:15,214365.94
03-08-18 3:30,202780.83
03-08-18 3:45,207538.05
03-08-18 4:00,232714.53
03-08-18 4:15,305635.7
03-08-18 4:30,399078.12
03-08-18 4:45,361987.3
03-08-18 5:00,341546.6
03-08-18 5:15,327916
03-08-18 5:30,330692.25
03-08-18 5:45,336505.25
03-08-18 6:00,332992.7
03-08-18 6:15,350084.1
03-08-18 6:30,359285.97
03-08-18 6:45,413935
03-08-18 7:00,437593.22
03-08-18 7:15,495044.56
03-08-18 7:30,452381.2
03-08-18 7:45,499815.12
03-08-18 8:00,506893
03-08-18 8:15,520774.78
03-08-18 8:30,591035.06
03-08-18 8:45,582496.4
03-08-18 9:00,590343.1
03-08-18 9:15,609771.5
03-08-18 9:30,595073.44
03-08-18 9:45,625181.25
03-08-18 10:00,670539.56
03-08-18 10:15,625162.56
03-08-18 10:30,717878.1
03-08-18 10:45,737034.9
03-08-18 13:15,616406.75
03-08-18 13:30,621251.25
03-08-18 13:45,598931.6
03-08-18 14:00,602359.2
03-08-18 14:15,609594.8
03-08-18 14:30,606041.44
03-08-18 14:45,617925.4
03-08-18 15:00,569578.94
03-08-18 15:15,609102.5
03-08-18 15:30,602963.94
03-08-18 15:45,590690.6
03-08-18 16:00,577415.06
03-08-18 16:15,560316.75
03-08-18 16:30,545224.6
03-08-18 16:45,537013.3
03-08-18 17:00,525278.6
03-08-18 17:15,527838.7
03-08-18 17:30,505361.16
03-08-18 17:45,497507.78
03-08-18 18:00,531673.3
03-08-18 18:15,483612.8
03-08-18 18:30,476123.22
03-08-18 18:45,486428.5
03-08-18 19:00,423997.9
03-08-18 19:15,362680.88
03-08-18 19:30,374746.88
03-08-18 19:45,363292.2
03-08-18 20:00,344429.62
03-08-18 20:15,354089.3
03-08-18 20:30,350416.12
03-08-18 20:45,334657.3
03-08-18 21:00,313961.2
03-08-18 21:15,299309.66
03-08-18 21:30,299202.34
03-08-18 21:45,285908.16
03-08-18 22:00,273589.16
03-08-18 22:15,245666.83
03-08-18 22:30,255436.95
03-08-18 22:45,235299.77
03-08-18 23:00,229388.58
03-08-18 23:15,220709.11
03-08-18 23:30,209955.4
03-08-18 23:45,240470.97
04-08-18 0:00,225594.78
04-08-18 0:15,227319.33
04-08-18 0:30,219760.81
04-08-18 0:45,206363.8
04-08-18 1:00,220819.7
04-08-18 1:15,215961.77
04-08-18 1:30,209699.4
04-08-18 1:45,218622.22
04-08-18 2:00,205950.66
04-08-18 2:15,194941.33
04-08-18 2:30,218910.75
04-08-18 2:45,228545.97
04-08-18 3:00,229264.02
04-08-18 3:15,230041.1
04-08-18 3:30,225188.61
04-08-18 3:45,238848.97
04-08-18 4:00,242217.75
04-08-18 4:15,227559.64
04-08-18 4:30,239694.28
04-08-18 4:45,232890.14
04-08-18 5:00,388981.9
04-08-18 5:15,402235.06
04-08-18 5:30,393973.53
04-08-18 5:45,406295.94
04-08-18 6:00,382429.53
04-08-18 6:15,386077.6
04-08-18 6:30,378256.12
04-08-18 6:45,456588.9
04-08-18 7:00,421283.56
04-08-18 7:15,507890.4
04-08-18 7:30,495511.7
04-08-18 7:45,498804.1
04-08-18 8:00,536376.75
04-08-18 8:15,603670.75
04-08-18 8:30,564341.25
04-08-18 8:45,676702.8
04-08-18 9:00,725094.1
04-08-18 9:15,650789.1
04-08-18 9:30,672113.8
04-08-18 9:45,695163.2
04-08-18 10:00,646056.6
04-08-18 10:15,699271.2
04-08-18 10:30,657595.75
04-08-18 10:45,601661.94
04-08-18 11:00,604683.8
04-08-18 11:15,627173.75
04-08-18 11:30,628809.8
04-08-18 11:45,655951.3
04-08-18 12:00,654169.44
04-08-18 12:15,699928.25
04-08-18 12:30,657501.5
04-08-18 12:45,702178.8
04-08-18 13:00,671766.5
04-08-18 13:15,571193.75
04-08-18 13:30,577837.8
04-08-18 13:45,586790.5
04-08-18 14:00,557360.3
04-08-18 14:15,529301.06
04-08-18 14:30,535430.9
